id_code,experiment,plate,well,sirna,cell_type,site,image_dir,image_pattern,image_root
HEPG2-03_1_B03,HEPG2-03,1,B03,sirna_1092,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_B04,HEPG2-03,1,B04,sirna_327,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_B05,HEPG2-03,1,B05,sirna_66,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_B06,HEPG2-03,1,B06,sirna_63,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_B07,HEPG2-03,1,B07,sirna_234,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_B08,HEPG2-03,1,B08,sirna_367,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_B09,HEPG2-03,1,B09,sirna_863,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_B10,HEPG2-03,1,B10,sirna_344,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_B11,HEPG2-03,1,B11,sirna_539,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_B12,HEPG2-03,1,B12,sirna_610,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_B13,HEPG2-03,1,B13,sirna_238,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_B14,HEPG2-03,1,B14,sirna_264,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_B15,HEPG2-03,1,B15,sirna_695,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_B16,HEPG2-03,1,B16,sirna_180,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_B17,HEPG2-03,1,B17,sirna_33,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_B18,HEPG2-03,1,B18,sirna_292,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_B19,HEPG2-03,1,B19,sirna_811,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_B20,HEPG2-03,1,B20,sirna_348,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_B21,HEPG2-03,1,B21,sirna_839,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_B22,HEPG2-03,1,B22,sirna_788,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_B23,HEPG2-03,1,B23,sirna_62,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_C02,HEPG2-03,1,C02,sirna_183,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_C04,HEPG2-03,1,C04,sirna_226,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_C05,HEPG2-03,1,C05,sirna_428,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_C06,HEPG2-03,1,C06,sirna_981,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_C08,HEPG2-03,1,C08,sirna_498,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_C09,HEPG2-03,1,C09,sirna_678,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_C10,HEPG2-03,1,C10,sirna_58,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_C12,HEPG2-03,1,C12,sirna_82,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_C13,HEPG2-03,1,C13,sirna_693,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_C14,HEPG2-03,1,C14,sirna_521,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_C16,HEPG2-03,1,C16,sirna_312,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_C17,HEPG2-03,1,C17,sirna_475,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_C18,HEPG2-03,1,C18,sirna_720,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_C20,HEPG2-03,1,C20,sirna_799,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_C21,HEPG2-03,1,C21,sirna_585,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_C23,HEPG2-03,1,C23,sirna_1123,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_D02,HEPG2-03,1,D02,sirna_426,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_D03,HEPG2-03,1,D03,sirna_955,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_D04,HEPG2-03,1,D04,sirna_1044,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_D05,HEPG2-03,1,D05,sirna_310,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_D06,HEPG2-03,1,D06,sirna_765,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_D07,HEPG2-03,1,D07,sirna_462,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_D08,HEPG2-03,1,D08,sirna_948,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_D09,HEPG2-03,1,D09,sirna_385,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_D10,HEPG2-03,1,D10,sirna_1062,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
