sirna,sirna_id
sirna_0,183
sirna_1,719
sirna_10,713
sirna_100,63
sirna_1000,835
sirna_1001,596
sirna_1002,728
sirna_1003,431
sirna_1004,392
sirna_1005,956
sirna_1006,680
sirna_1007,931
sirna_1008,1064
sirna_1009,674
sirna_101,780
sirna_1010,198
sirna_1012,90
sirna_1013,506
sirna_1014,467
sirna_1015,1011
sirna_1016,5
sirna_1017,465
sirna_1018,979
sirna_1019,33
sirna_102,762
sirna_1020,206
sirna_1021,742
sirna_1022,795
sirna_1023,331
sirna_1024,980
sirna_1025,689
sirna_1026,202
sirna_1027,815
sirna_1028,1070
sirna_1029,289
sirna_103,717
sirna_1030,1104
sirna_1031,763
sirna_1032,639
sirna_1033,484
sirna_1034,34
sirna_1035,395
sirna_1036,841
sirna_1038,487
sirna_1039,330
sirna_104,734
sirna_1040,176
sirna_1041,879
sirna_1042,448
sirna_1043,1035
sirna_1044,881
sirna_1045,207
sirna_1046,91
sirna_1047,673
sirna_1048,1081
sirna_1049,31
sirna_105,186
sirna_1050,829
sirna_1051,286
sirna_1052,494
sirna_1053,425
sirna_1054,869
sirna_1055,215
sirna_1057,213
sirna_1058,771
sirna_1059,255
sirna_106,502
sirna_1060,799
sirna_1061,663
sirna_1062,877
sirna_1063,591
sirna_1064,923
sirna_1065,434
sirna_1066,222
sirna_1067,732
sirna_1068,120
sirna_1069,1053
sirna_107,584
sirna_1070,244
sirna_1071,929
sirna_1072,316
sirna_1073,263
sirna_1074,814
sirna_1075,1057
sirna_1076,965
sirna_1077,985
sirna_1078,620
sirna_1079,617
sirna_108,49
sirna_1080,1004
sirna_1081,113
sirna_1082,41
sirna_1083,228
sirna_1084,578
sirna_1085,478
sirna_1086,12
sirna_1087,866
sirna_1088,469
sirna_1089,996
sirna_109,790
sirna_1090,490
sirna_1091,247
sirna_1092,764
sirna_1093,924
sirna_1094,685
sirna_1095,1071
sirna_1096,629
sirna_1097,967
sirna_1098,360
sirna_1099,156
sirna_11,922
sirna_110,464
sirna_1100,830
sirna_1101,351
sirna_1102,613
sirna_1103,594
sirna_1104,700
sirna_1105,475
sirna_1106,992
sirna_1107,862
sirna_1108,756
sirna_1109,497
sirna_111,554
sirna_1110,1048
sirna_1111,482
sirna_1112,471
sirna_1113,976
sirna_1114,1068
sirna_1115,1020
sirna_1116,791
sirna_1117,1019
sirna_1118,809
sirna_1119,858
sirna_112,1060
sirna_1120,17
sirna_1121,1028
sirna_1122,688
sirna_1123,577
sirna_1124,651
sirna_1125,859
sirna_1126,1090
sirna_1127,1067
sirna_1128,241
sirna_1129,699
sirna_113,192
sirna_1130,777
sirna_1131,637
sirna_1132,636
sirna_1133,483
sirna_1134,512
sirna_1135,765
sirna_1136,738
sirna_1137,346
sirna_114,1037
sirna_115,612
sirna_116,243
sirna_117,163
sirna_118,647
sirna_119,218
sirna_12,104
sirna_120,139
sirna_121,803
sirna_122,569
sirna_123,887
sirna_124,893
sirna_125,561
sirna_126,947
sirna_127,9
sirna_128,166
sirna_129,1062
sirna_13,982
sirna_130,492
sirna_131,565
sirna_132,294
sirna_133,386
sirna_134,266
sirna_135,1026
sirna_136,442
sirna_137,1009
sirna_138,2
sirna_139,350
sirna_14,787
sirna_140,432
sirna_141,1107
sirna_142,187
sirna_143,50
sirna_145,570
sirna_146,98
sirna_147,27
sirna_148,284
sirna_149,117
sirna_15,557
sirna_150,82
sirna_151,67
sirna_152,519
sirna_153,1100
sirna_154,95
sirna_155,891
sirna_156,917
sirna_157,130
sirna_158,1089
sirna_159,590
sirna_16,860
sirna_160,1001
sirna_161,160
sirna_162,645
sirna_163,547
sirna_164,722
sirna_165,29
sirna_166,971
sirna_167,455
sirna_168,18
sirna_169,381
sirna_17,769
sirna_170,421
sirna_171,1050
sirna_172,332
sirna_173,767
sirna_174,828
sirna_175,587
sirna_176,323
sirna_177,646
sirna_178,476
sirna_179,902
sirna_18,605
sirna_180,538
sirna_181,385
sirna_182,444
sirna_183,308
sirna_184,257
sirna_185,825
sirna_186,1106
sirna_187,909
sirna_188,214
sirna_189,413
sirna_19,832
sirna_190,1000
sirna_191,340
sirna_192,414
sirna_193,281
sirna_194,531
sirna_195,327
sirna_196,517
sirna_197,870
sirna_198,898
sirna_199,781
sirna_2,749
sirna_20,800
sirna_200,813
sirna_202,537
sirna_203,710
sirna_204,1098
sirna_205,850
sirna_206,159
sirna_207,468
sirna_208,747
sirna_209,987
sirna_21,1074
sirna_210,80
sirna_211,573
sirna_212,270
sirna_213,962
sirna_214,230
sirna_215,481
sirna_216,236
sirna_217,55
sirna_218,900
sirna_219,1069
sirna_22,955
sirna_220,226
sirna_221,110
sirna_222,1031
sirna_223,453
sirna_224,162
sirna_225,450
sirna_226,945
sirna_227,684
sirna_228,325
sirna_229,978
sirna_23,379
sirna_230,871
sirna_231,1002
sirna_232,486
sirna_233,857
sirna_234,868
sirna_235,480
sirna_236,824
sirna_238,750
sirna_239,10
sirna_24,99
sirna_240,501
sirna_241,339
sirna_242,729
sirna_243,152
sirna_244,725
sirna_245,291
sirna_246,856
sirna_247,151
sirna_248,403
sirna_249,736
sirna_25,132
sirna_250,513
sirna_251,40
sirna_252,322
sirna_253,459
sirna_254,258
sirna_255,196
sirna_257,354
sirna_258,741
sirna_259,269
sirna_26,495
sirna_260,116
sirna_261,387
sirna_262,154
sirna_263,398
sirna_264,811
sirna_265,288
sirna_266,496
sirna_267,477
sirna_268,180
sirna_269,24
sirna_27,1055
sirna_270,32
sirna_271,621
sirna_273,1012
sirna_274,365
sirna_275,960
sirna_276,384
sirna_277,200
sirna_278,507
sirna_279,1096
sirna_28,600
sirna_280,782
sirna_281,694
sirna_282,582
sirna_283,488
sirna_284,51
sirna_285,1086
sirna_286,412
sirna_287,220
sirna_288,846
sirna_289,411
sirna_29,205
sirna_290,1103
sirna_291,905
sirna_292,983
sirna_293,908
sirna_294,773
sirna_295,532
sirna_296,562
sirna_297,182
sirna_298,797
sirna_299,343
sirna_3,452
sirna_30,1043
sirna_300,390
sirna_301,545
sirna_302,349
sirna_303,171
sirna_304,535
sirna_305,1078
sirna_306,927
sirna_307,564
sirna_308,827
sirna_309,1023
sirna_31,321
sirna_310,938
sirna_311,1102
sirna_312,302
sirna_313,433
sirna_314,1051
sirna_315,546
sirna_316,240
sirna_317,75
sirna_318,1030
sirna_319,941
sirna_32,819
sirna_320,876
sirna_321,745
sirna_322,919
sirna_324,1088
sirna_325,389
sirna_326,42
sirna_327,445
sirna_328,64
sirna_329,526
sirna_33,660
sirna_330,892
sirna_331,718
sirna_332,0
sirna_333,235
sirna_334,188
sirna_335,52
sirna_336,1085
sirna_337,716
sirna_338,265
sirna_339,693
sirna_34,303
sirna_340,849
sirna_341,723
sirna_342,407
sirna_343,126
sirna_344,417
